ID,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,job,consent,S3_kJ_Q1 ,S3_kJ_Q2,S3_kJ_Q3,S3_kJ_Q4,S3_kJ_Q5,S3_kJ_Q6,S3_kJ_Q7,S3_kcal_Q1,S3_kcal_Q2,S3_kcal_Q3,S3_kcal_Q4,S3_kcal_Q5,S3_kcal_Q6,S3_kcal_Q7,K_1,S4_ET_Q1,S4_ET_Q2,S4_ET_Q3,S4_ET_Q4,S4_ET_Q5,S4_ET_Q6,S4_ET_Q7,S4_ET_Q8,S4_ET_Q9,S4_ET_Q10,S4_EM_Q1,S4_EM_Q2,S4_EM_Q3,S4_EM_Q4,S4_EM_Q5,S4_EM_Q6,S4_EM_Q7,S4_EM_Q8,S4_EM_Q9,S4_EM_Q10,S4_AET_Q1,S4_AET_Q2,S4_AET_Q3,S4_AET_Q4,S4_AET_Q5,S4_AET_Q6,S4_AET_Q7,S4_AET_Q8,S4_AET_Q9,S4_AET_Q10,Kontrollfrage,S4_AEM_Q1,S4_AEM_Q2,S4_AEM_Q3,S4_AEM_Q4,S4_AEM_Q5,S4_AEM_Q6,S4_AEM_Q7,S4_AEM_Q8,S4_AEM_Q9,S4_AEM_Q10,K_2,Manipulation_Q1 _1,Interesse_Q1 _1,K_3,Feedback_Q1,Feedback_Q2,Feedback_Q3
NnbiPMoX7t,IP Address,99,256,FALSE,anonymous,EN,Ja,"Ja, ich stimme zu",Snickers (2042 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Kinder Bueno (2376 kJ),Naturjoghurt (260 kJ),Al Natura Linsenwaffeln (1525 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,gar nicht,teils/teils,2,Nein,Nach persönlichen Präferenzen beim Essen und nach dringlichkeit bei den sonstigen Waren,NA
RcX39T7k31,IP Address,100,449,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Expresslieferung, 31 Tage früher, CHF 534.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Expresslieferung, 62 Tage früher, CHF 1619.00","Standardlieferung, 186 Tage, CHF 999.00","Expresslieferung, 62 Tage früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,teils/teils,2,Nein,"Je nach dem wie ich handeln würde. Wenn ich z.Bsp. schon ein Sofa habe, eilt es ja nicht. Oder wenn ich einen Snack nicht mag, nahm ich die andere Option.",Ich verstehe nicht wirklich um was es geht…🫠😂
qelLJLIeCU,IP Address,100,2421,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Kinder Bueno (2376 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Gelb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,teils/teils,2,Nein,Habe schnrll durchgelesen und war nicht sher konzentriert,NA
8HSkyQjsQV,IP Address,100,232,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Lotus Biscoff Pocket Karamell (3780 kJ),Banane (446 kJ),Kinder Bueno (2376 kJ),Naturjoghurt (260 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher stark,eher wichtig,2,Nein,Anhand davon wie dringend man ein Gerät oder das entsprechende Produkt braucht. Snacks nach Lust und Laune.,NA
CMx57eqr5Z,IP Address,100,314,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Naturjoghurt (260 kJ),Al Natura Linsenwaffeln (1525 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,eher wenig,eher nicht wichtig,2,Nein,Spontan,NA
pxlc7EHiOw,IP Address,1,4,FALSE,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wX4XNERie8,IP Address,100,1587,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Isey Skyr Heidelbeere (129 kcal),Banane (107 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Expresslieferung, 1 Monat früher, CHF 534.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Expresslieferung, 1 Monat früher, CHF 2019.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,eher stark,sehr wichtig,2,Nein,Ehrlich,-
Aa4m7hni1U,IP Address,100,204,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Lotus Biscoff Pocket Karamell (3780 kJ),Zweifel Paprika Chips (2695 kJ),Mandarine (222 kJ),Naturjoghurt (260 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,unwichtig,2,Ja,Intuitiv,NA
M1O3pVvQVz,IP Address,99,795,FALSE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Isey Skyr Heidelbeere (129 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Standardlieferung, 62 Tage, CHF 499.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Expresslieferung, 62 Tage früher, CHF 1619.00","Standardlieferung, 186 Tage, CHF 999.00","Expresslieferung, 62 Tage früher, CHF 36’500.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,eher nicht wichtig,2,Nein,"Beim Essen habe ich mich zu Teil von der Kalorienanzahl leiten lassen, habe aber auch auf das, was mir auch schmeckt, geschaut.",NA
Z5FHKUX1WI,IP Address,100,624,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Expresslieferung, 1 Monat früher, CHF 429.00","Expresslieferung, 1 Monat früher, CHF 2019.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,eher wichtig,2,Nein,"Beim Essen die Lust, bei den Lieferterminen auf den Preis und Notwendigkeit",NA
srOkvBCD9G,IP Address,100,214,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Naturjoghurt (62 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,"Expresslieferung, 62 Tage früher, CHF 969.00","Expresslieferung, 31 Tage früher, CHF 1389.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Expresslieferung, 31 Tage früher, CHF 429.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,teils/teils,2,Nein,"Durch kurze Überlegung
",NA
yx2arXyVdG,IP Address,100,360,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Naturjoghurt (62 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Expresslieferung, 1 Monat früher, CHF 534.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Expresslieferung, 1 Monat früher, CHF 2019.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,teils/teils,2,Nein,Was für mich stimmte,NA
6Jl3hWXDBa,IP Address,100,330,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00",NA,"Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00",NA,NA,"Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,eher wichtig,2,Nein,Spontan,Z.T. war es schwierig zu entscheiden. Z.b. bei matratze odr handy odr winterjacke. Ist meine ware kaputt und brauche ich dringend ersatz oder ist es planbar?
ZBb5KgQrak,IP Address,100,507,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Banane (107 kcal),Kinder Bueno (560 kcal),Naturjoghurt (62 kcal),Al Natura Linsenwaffeln (360 kcal),Gelb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 124 Tage, CHF 899.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35’000.00",In Monate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,schwimmen,eher wenig,teils/teils,10,Ja,nach Gefühl,NA
dd0GeQkycp,IP Address,100,290,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",Snickers (2042 kJ),Trauben (289 kJ),Lotus Biscoff Pocket Karamell (3780 kJ),Banane (446 kJ),Kinder Bueno (2376 kJ),Naturjoghurt (260 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Expresslieferung, 31 Tage früher, CHF 1389.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Expresslieferung, 31 Tage früher, CHF 534.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Expresslieferung, 31 Tage früher, CHF 429.00","Expresslieferung, 31 Tage früher, CHF 2019.00","Expresslieferung, 62 Tage früher, CHF 1619.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Standardlieferung, 186 Tage, CHF 35’000.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,eher nicht wichtig,2,Ja,"Ich habe bei den Snacks überlegt welches ich intuitiv möchte und bei den Lieferungen mestens Express gewählt, da ich wenn ich sowieso Geld ausgebe, auch gerne mehr Geld für den schnelleren Versand ausgebe.",Nein alles gut!
P489v9JS24,IP Address,100,424,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Isey Skyr Heidelbeere (129 kcal),Banane (107 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Expresslieferung, 31 Tage früher, CHF 1389.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Expresslieferung, 31 Tage früher, CHF 534.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Expresslieferung, 62 Tage früher, CHF 36’500.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher stark,eher wichtig,2,Nein,Nach Präferenzen: Ein Snack sollte einerseits schnell konsumierbar sein und teilweise gesund. Zudem sollte er einigermassen schmecken. Bei den Bestellungen mit Lieferfristen habe ich nach Dringlichkeit entschieden. Für einen Alltagsgegenstand habe ich die Expressoption mit schnellerer Lieferzeit ausgewählt.,NA
YC7f1KAhSL,IP Address,100,431,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",Snickers (2042 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Standardlieferung, 62 Tage, CHF 399.00","Expresslieferung, 31 Tage früher, CHF 2019.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Expresslieferung, 62 Tage früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,eher nicht wichtig,2,Nein,Nach Dringlichkeit,Viel Spass bei der Auswertung
IdkXhgmEvi,IP Address,100,220,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Naturjoghurt (62 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Expresslieferung, 1 Monat früher, CHF 534.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",fliegen,eher wenig,unwichtig,2,Nein,Nach Bauchgefühl,NA
84EgYhMQor,IP Address,100,534731,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Lotus Biscoff Pocket Karamell (3780 kJ),Zweifel Paprika Chips (2695 kJ),Mandarine (222 kJ),Naturjoghurt (260 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Expresslieferung, 1 Monat früher, CHF 534.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Expresslieferung, 1 Monat früher, CHF 2019.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,teils/teils,2,Nein,Mag,Nop
5WFntPGfFT,IP Address,100,199,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Snickers (2042 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Kinder Bueno (2376 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,"Standardlieferung, 124 Tage, CHF 899.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,teils/teils,2,Nein,Was mir schmeckt und der Preis,Nein
asGXTPaIDQ,IP Address,100,290,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Naturjoghurt (260 kJ),Al Natura Linsenwaffeln (1525 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,eher wenig,teils/teils,2,Nein,Was mir spontan am sympathischten war.,NA
LoiwI6Bg2d,IP Address,99,516,FALSE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Al Natura Linsenwaffeln (1525 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,teils/teils,teils/teils,2,Nein,"Ich habe wenig Geld, daher versuche ich möglichst die billigste Option zu wählen on Inkaufnahme der Lieferzeit.",Viel Erfolg bei deiner Studie!
mrwbkZt2xT,IP Address,100,271,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Expresslieferung, 1 Monat früher, CHF 534.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,unwichtig,2,Nein,"Bauchgefühl, vorgestellt wie ich reagieren würde",NA
