task,condition,test,number_id,value,id,target,set,label,range_min,range_max,Unique_ID,ID
Arztpraxen,Round,Test,1,8,1,76,2,74.7,67.23,82.17,1 1 Round,a563LHr7fg
Gotthardtunnel,Precise,Question,1,16000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,9fID2DUhZu
Gotthardtunnel,Precise,Question,2,500,2,2257,2,2257,2031.3,2482.7,2 2 Precise,9fID2DUhZu
Umsatzlöhne,Precise,Question,1,13000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,9fID2DUhZu
Umsatzlöhne,Precise,Question,2,3800,6,3750,2,3750,3375,4125,6 2 Precise,9fID2DUhZu
Arztpraxen,Precise,Question,1,25000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,9fID2DUhZu
Arztpraxen,Precise,Question,2,12000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,9fID2DUhZu
Gotthardtunnel,Precise,Test,1,10,2,13.3,2,13.3,11.97,14.63,2 1 Precise,9fID2DUhZu
Umsatzlöhne,Precise,Test,1,33,6,22.7,2,22.7,20.43,24.97,6 1 Precise,9fID2DUhZu
Arztpraxen,Precise,Test,1,25,1,74.7,2,74.7,67.23,82.17,1 1 Precise,9fID2DUhZu
Geographie,Precise,Question,1,400000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,edFHWaS23q
Geographie,Precise,Question,2,20000,5,7105,1,7105,6394.5,7815.5,5 2 Precise,edFHWaS23q
Arbeitslosigkeit,Precise,Question,1,2000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,edFHWaS23q
Arbeitslosigkeit,Precise,Question,2,100,3,2280,1,2280,2052,2508,3 2 Precise,edFHWaS23q
Urteile,Precise,Question,1,1200,4,103156,1,103156,92840.4,113471.6,4 1 Precise,edFHWaS23q
Urteile,Precise,Question,2,900,4,1945,1,1945,1750.5,2139.5,4 2 Precise,edFHWaS23q
Geographie,Precise,Test,1,10,5,17.2,1,17.2,15.48,18.92,5 1 Precise,edFHWaS23q
Arbeitslosigkeit,Precise,Test,1,1,3,2.5,1,2.5,2.25,2.75,3 1 Precise,edFHWaS23q
Urteile,Precise,Test,1,80,4,1.9,1,1.9,1.71,2.09,4 1 Precise,edFHWaS23q
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,b5oSWHvvEL
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,b5oSWHvvEL
Arbeitslosigkeit,Round,Question,1,19000,3,90000,1,89881,80892.9,98869.1,3 1 Round,b5oSWHvvEL
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,b5oSWHvvEL
Urteile,Round,Question,1,10000,4,100000,1,103156,92840.4,113471.6,4 1 Round,b5oSWHvvEL
Urteile,Round,Question,2,300,4,2000,1,1945,1750.5,2139.5,4 2 Round,b5oSWHvvEL
Geographie,Round,Test,1,10,5,17.5,1,17.2,15.48,18.92,5 1 Round,b5oSWHvvEL
Arbeitslosigkeit,Round,Test,1,1,3,2.8,1,2.5,2.25,2.75,3 1 Round,b5oSWHvvEL
Urteile,Round,Test,1,3,4,2,1,1.9,1.71,2.09,4 1 Round,b5oSWHvvEL
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,CNjxEvKJZI
Gotthardtunnel,Round,Question,2,3000,2,2300,2,2257,2031.3,2482.7,2 2 Round,CNjxEvKJZI
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,CNjxEvKJZI
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,CNjxEvKJZI
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,CNjxEvKJZI
Arztpraxen,Round,Question,2,19000,1,19000,2,19004,17103.6,20904.4,1 2 Round,CNjxEvKJZI
Umsatzlöhne,Round,Test,1,18,6,23.5,2,22.7,20.43,24.97,6 1 Round,CNjxEvKJZI
Arztpraxen,Round,Test,1,85,1,76,2,74.7,67.23,82.17,1 1 Round,CNjxEvKJZI
Gotthardtunnel,Precise,Question,1,16900,2,16942,2,16942,15247.8,18636.2,2 1 Precise,4hcRXBeQ2S
Gotthardtunnel,Precise,Question,2,2700,2,2257,2,2257,2031.3,2482.7,2 2 Precise,4hcRXBeQ2S
Umsatzlöhne,Precise,Question,1,16500,6,16553,2,16553,14897.7,18208.3,6 1 Precise,4hcRXBeQ2S
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,4hcRXBeQ2S
Arztpraxen,Precise,Question,1,25000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,4hcRXBeQ2S
Arztpraxen,Precise,Question,2,20000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,4hcRXBeQ2S
Gotthardtunnel,Precise,Test,1,50,2,13.3,2,13.3,11.97,14.63,2 1 Precise,4hcRXBeQ2S
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,4hcRXBeQ2S
Arztpraxen,Precise,Test,1,75,1,74.7,2,74.7,67.23,82.17,1 1 Precise,4hcRXBeQ2S
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,ahtnh5Zui7
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,ahtnh5Zui7
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,ahtnh5Zui7
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,ahtnh5Zui7
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,ahtnh5Zui7
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,ahtnh5Zui7
Geographie,Round,Test,1,16,5,17.5,1,17.2,15.48,18.92,5 1 Round,ahtnh5Zui7
Arbeitslosigkeit,Round,Test,1,2,3,2.8,1,2.5,2.25,2.75,3 1 Round,ahtnh5Zui7
Urteile,Round,Test,1,2,4,2,1,1.9,1.71,2.09,4 1 Round,ahtnh5Zui7
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,IStQHouVFJ
Gotthardtunnel,Round,Question,2,2500,2,2300,2,2257,2031.3,2482.7,2 2 Round,IStQHouVFJ
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,IStQHouVFJ
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,IStQHouVFJ
Arztpraxen,Round,Question,1,61,1,25000,2,25439,22895.1,27982.9,1 1 Round,IStQHouVFJ
Arztpraxen,Round,Question,2,70,1,19000,2,19004,17103.6,20904.4,1 2 Round,IStQHouVFJ
Umsatzlöhne,Round,Test,1,26,6,23.5,2,22.7,20.43,24.97,6 1 Round,IStQHouVFJ
Arztpraxen,Round,Test,1,70,1,76,2,74.7,67.23,82.17,1 1 Round,IStQHouVFJ
Geographie,Precise,Question,1,42000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,uT9Fu2I2lM
Geographie,Precise,Question,2,7000,5,7105,1,7105,6394.5,7815.5,5 2 Precise,uT9Fu2I2lM
Arbeitslosigkeit,Precise,Question,1,90000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,uT9Fu2I2lM
Arbeitslosigkeit,Precise,Question,2,2000,3,2280,1,2280,2052,2508,3 2 Precise,uT9Fu2I2lM
Urteile,Precise,Question,1,8000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,uT9Fu2I2lM
Urteile,Precise,Question,2,1400,4,1945,1,1945,1750.5,2139.5,4 2 Precise,uT9Fu2I2lM
Geographie,Precise,Test,1,20,5,17.2,1,17.2,15.48,18.92,5 1 Precise,uT9Fu2I2lM
Arbeitslosigkeit,Precise,Test,1,3,3,2.5,1,2.5,2.25,2.75,3 1 Precise,uT9Fu2I2lM
Urteile,Precise,Test,1,1,4,1.9,1,1.9,1.71,2.09,4 1 Precise,uT9Fu2I2lM
Geographie,Precise,Question,1,41285,5,41285,1,41285,37156.5,45413.5,5 1 Precise,VorqawGeFG
Geographie,Precise,Question,2,7105,5,7105,1,7105,6394.5,7815.5,5 2 Precise,VorqawGeFG
Arbeitslosigkeit,Precise,Question,1,80000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,VorqawGeFG
Arbeitslosigkeit,Precise,Question,2,2100,3,2280,1,2280,2052,2508,3 2 Precise,VorqawGeFG
Urteile,Precise,Question,1,90000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,VorqawGeFG
Urteile,Precise,Question,2,1900,4,1945,1,1945,1750.5,2139.5,4 2 Precise,VorqawGeFG
Geographie,Precise,Test,1,20,5,17.2,1,17.2,15.48,18.92,5 1 Precise,VorqawGeFG
Arbeitslosigkeit,Precise,Test,1,1,3,2.5,1,2.5,2.25,2.75,3 1 Precise,VorqawGeFG
Urteile,Precise,Test,1,2,4,1.9,1,1.9,1.71,2.09,4 1 Precise,VorqawGeFG
Gotthardtunnel,Precise,Question,1,16500,2,16942,2,16942,15247.8,18636.2,2 1 Precise,tmUw9xJVOP
Gotthardtunnel,Precise,Question,2,5000,2,2257,2,2257,2031.3,2482.7,2 2 Precise,tmUw9xJVOP
Umsatzlöhne,Precise,Question,1,4000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,tmUw9xJVOP
Umsatzlöhne,Precise,Question,2,3000,6,3750,2,3750,3375,4125,6 2 Precise,tmUw9xJVOP
Arztpraxen,Precise,Question,1,10000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,tmUw9xJVOP
Arztpraxen,Precise,Question,2,8000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,tmUw9xJVOP
Gotthardtunnel,Precise,Test,1,30,2,13.3,2,13.3,11.97,14.63,2 1 Precise,tmUw9xJVOP
Umsatzlöhne,Precise,Test,1,50,6,22.7,2,22.7,20.43,24.97,6 1 Precise,tmUw9xJVOP
Arztpraxen,Precise,Test,1,80,1,74.7,2,74.7,67.23,82.17,1 1 Precise,tmUw9xJVOP
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,L8Hv8S1b9I
Gotthardtunnel,Round,Question,2,2400,2,2300,2,2257,2031.3,2482.7,2 2 Round,L8Hv8S1b9I
Umsatzlöhne,Round,Question,1,24000,6,17000,2,16553,14897.7,18208.3,6 1 Round,L8Hv8S1b9I
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,L8Hv8S1b9I
Arztpraxen,Round,Question,1,2100,1,25000,2,25439,22895.1,27982.9,1 1 Round,L8Hv8S1b9I
Arztpraxen,Round,Question,2,200,1,19000,2,19004,17103.6,20904.4,1 2 Round,L8Hv8S1b9I
Umsatzlöhne,Round,Test,1,30,6,23.5,2,22.7,20.43,24.97,6 1 Round,L8Hv8S1b9I
Arztpraxen,Round,Test,1,7,1,76,2,74.7,67.23,82.17,1 1 Round,L8Hv8S1b9I
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,IzpqqhkJmc
Geographie,Round,Question,2,13000,5,7000,1,7105,6394.5,7815.5,5 2 Round,IzpqqhkJmc
Arbeitslosigkeit,Round,Question,1,80000,3,90000,1,89881,80892.9,98869.1,3 1 Round,IzpqqhkJmc
Arbeitslosigkeit,Round,Question,2,80100,3,2500,1,2280,2052,2508,3 2 Round,IzpqqhkJmc
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,IzpqqhkJmc
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,IzpqqhkJmc
Geographie,Round,Test,1,30,5,17.5,1,17.2,15.48,18.92,5 1 Round,IzpqqhkJmc
Arbeitslosigkeit,Round,Test,1,1,3,2.8,1,2.5,2.25,2.75,3 1 Round,IzpqqhkJmc
Urteile,Round,Test,1,2,4,2,1,1.9,1.71,2.09,4 1 Round,IzpqqhkJmc
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,v9459TKRvG
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,v9459TKRvG
Arbeitslosigkeit,Round,Question,1,100000,3,90000,1,89881,80892.9,98869.1,3 1 Round,v9459TKRvG
Arbeitslosigkeit,Round,Question,2,2000,3,2500,1,2280,2052,2508,3 2 Round,v9459TKRvG
Urteile,Round,Question,1,7000,4,100000,1,103156,92840.4,113471.6,4 1 Round,v9459TKRvG
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,v9459TKRvG
Geographie,Round,Test,1,20,5,17.5,1,17.2,15.48,18.92,5 1 Round,v9459TKRvG
Arbeitslosigkeit,Round,Test,1,1,3,2.8,1,2.5,2.25,2.75,3 1 Round,v9459TKRvG
Urteile,Round,Test,1,13,4,2,1,1.9,1.71,2.09,4 1 Round,v9459TKRvG
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,oZz3sfRyGR
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,oZz3sfRyGR
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,oZz3sfRyGR
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,oZz3sfRyGR
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,oZz3sfRyGR
Arztpraxen,Round,Question,2,18000,1,19000,2,19004,17103.6,20904.4,1 2 Round,oZz3sfRyGR
Gotthardtunnel,Round,Test,1,10,2,13.5,2,13.3,11.97,14.63,2 1 Round,oZz3sfRyGR
Umsatzlöhne,Round,Test,1,30,6,23.5,2,22.7,20.43,24.97,6 1 Round,oZz3sfRyGR
Arztpraxen,Round,Test,1,70,1,76,2,74.7,67.23,82.17,1 1 Round,oZz3sfRyGR
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,MO60M3QGg6
Gotthardtunnel,Round,Question,2,17061,2,2300,2,2257,2031.3,2482.7,2 2 Round,MO60M3QGg6
Umsatzlöhne,Round,Question,1,18000,6,17000,2,16553,14897.7,18208.3,6 1 Round,MO60M3QGg6
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,MO60M3QGg6
Arztpraxen,Round,Question,1,22000,1,25000,2,25439,22895.1,27982.9,1 1 Round,MO60M3QGg6
Arztpraxen,Round,Question,2,18000,1,19000,2,19004,17103.6,20904.4,1 2 Round,MO60M3QGg6
Gotthardtunnel,Round,Test,1,10,2,13.5,2,13.3,11.97,14.63,2 1 Round,MO60M3QGg6
Umsatzlöhne,Round,Test,1,25,6,23.5,2,22.7,20.43,24.97,6 1 Round,MO60M3QGg6
Arztpraxen,Round,Test,1,80,1,76,2,74.7,67.23,82.17,1 1 Round,MO60M3QGg6
Gotthardtunnel,Precise,Question,1,16900,2,16942,2,16942,15247.8,18636.2,2 1 Precise,eNxk8z7XPf
Gotthardtunnel,Precise,Question,2,2250,2,2257,2,2257,2031.3,2482.7,2 2 Precise,eNxk8z7XPf
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,eNxk8z7XPf
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,eNxk8z7XPf
Arztpraxen,Precise,Question,1,25000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,eNxk8z7XPf
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,eNxk8z7XPf
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,eNxk8z7XPf
Arztpraxen,Precise,Test,1,80,1,74.7,2,74.7,67.23,82.17,1 1 Precise,eNxk8z7XPf
Gotthardtunnel,Precise,Question,1,16942,2,16942,2,16942,15247.8,18636.2,2 1 Precise,m4Woxml2Qg
Gotthardtunnel,Precise,Question,2,2300,2,2257,2,2257,2031.3,2482.7,2 2 Precise,m4Woxml2Qg
Umsatzlöhne,Precise,Question,1,8000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,m4Woxml2Qg
Umsatzlöhne,Precise,Question,2,3400,6,3750,2,3750,3375,4125,6 2 Precise,m4Woxml2Qg
Arztpraxen,Precise,Question,1,23000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,m4Woxml2Qg
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,m4Woxml2Qg
Gotthardtunnel,Precise,Test,1,12.5,2,13.3,2,13.3,11.97,14.63,2 1 Precise,m4Woxml2Qg
Umsatzlöhne,Precise,Test,1,45,6,22.7,2,22.7,20.43,24.97,6 1 Precise,m4Woxml2Qg
Arztpraxen,Precise,Test,1,85,1,74.7,2,74.7,67.23,82.17,1 1 Precise,m4Woxml2Qg
Geographie,Precise,Question,1,41582,5,41285,1,41285,37156.5,45413.5,5 1 Precise,BXIp46hD6x
Geographie,Precise,Question,2,7115,5,7105,1,7105,6394.5,7815.5,5 2 Precise,BXIp46hD6x
Arbeitslosigkeit,Precise,Question,1,89881,3,89881,1,89881,80892.9,98869.1,3 1 Precise,BXIp46hD6x
Arbeitslosigkeit,Precise,Question,2,2972,3,2280,1,2280,2052,2508,3 2 Precise,BXIp46hD6x
Urteile,Precise,Question,1,103571,4,103156,1,103156,92840.4,113471.6,4 1 Precise,BXIp46hD6x
Urteile,Precise,Question,2,1273,4,1945,1,1945,1750.5,2139.5,4 2 Precise,BXIp46hD6x
Geographie,Precise,Test,1,17,5,17.2,1,17.2,15.48,18.92,5 1 Precise,BXIp46hD6x
Arbeitslosigkeit,Precise,Test,1,3,3,2.5,1,2.5,2.25,2.75,3 1 Precise,BXIp46hD6x
Urteile,Precise,Test,1,1,4,1.9,1,1.9,1.71,2.09,4 1 Precise,BXIp46hD6x
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,2ULZw5M8r1
Gotthardtunnel,Round,Question,2,2800,2,2300,2,2257,2031.3,2482.7,2 2 Round,2ULZw5M8r1
Umsatzlöhne,Round,Question,1,10000,6,17000,2,16553,14897.7,18208.3,6 1 Round,2ULZw5M8r1
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,2ULZw5M8r1
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,2ULZw5M8r1
Arztpraxen,Round,Question,2,19000,1,19000,2,19004,17103.6,20904.4,1 2 Round,2ULZw5M8r1
Umsatzlöhne,Round,Test,1,33,6,23.5,2,22.7,20.43,24.97,6 1 Round,2ULZw5M8r1
Arztpraxen,Round,Test,1,75,1,76,2,74.7,67.23,82.17,1 1 Round,2ULZw5M8r1
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,ckXZ5fbVdf
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,ckXZ5fbVdf
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,ckXZ5fbVdf
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,ckXZ5fbVdf
Arztpraxen,Round,Question,1,61000,1,25000,2,25439,22895.1,27982.9,1 1 Round,ckXZ5fbVdf
Arztpraxen,Round,Question,2,4000,1,19000,2,19004,17103.6,20904.4,1 2 Round,ckXZ5fbVdf
Umsatzlöhne,Round,Test,1,20,6,23.5,2,22.7,20.43,24.97,6 1 Round,ckXZ5fbVdf
Arztpraxen,Round,Test,1,40,1,76,2,74.7,67.23,82.17,1 1 Round,ckXZ5fbVdf
Geographie,Precise,Question,1,42000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,fdSXNC5R4G
Geographie,Precise,Question,2,7000,5,7105,1,7105,6394.5,7815.5,5 2 Precise,fdSXNC5R4G
Arbeitslosigkeit,Precise,Question,1,2,3,89881,1,89881,80892.9,98869.1,3 1 Precise,fdSXNC5R4G
Arbeitslosigkeit,Precise,Question,2,0.1,3,2280,1,2280,2052,2508,3 2 Precise,fdSXNC5R4G
Urteile,Precise,Question,1,103000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,fdSXNC5R4G
Urteile,Precise,Question,2,1950,4,1945,1,1945,1750.5,2139.5,4 2 Precise,fdSXNC5R4G
Geographie,Precise,Test,1,12,5,17.2,1,17.2,15.48,18.92,5 1 Precise,fdSXNC5R4G
Arbeitslosigkeit,Precise,Test,1,2,3,2.5,1,2.5,2.25,2.75,3 1 Precise,fdSXNC5R4G
Urteile,Precise,Test,1,2,4,1.9,1,1.9,1.71,2.09,4 1 Precise,fdSXNC5R4G
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,jTWI7t8B7r
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,jTWI7t8B7r
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,jTWI7t8B7r
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,jTWI7t8B7r
Urteile,Round,Question,1,90000,4,100000,1,103156,92840.4,113471.6,4 1 Round,jTWI7t8B7r
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,jTWI7t8B7r
Geographie,Round,Test,1,6,5,17.5,1,17.2,15.48,18.92,5 1 Round,jTWI7t8B7r
Arbeitslosigkeit,Round,Test,1,3,3,2.8,1,2.5,2.25,2.75,3 1 Round,jTWI7t8B7r
Urteile,Round,Test,1,5,4,2,1,1.9,1.71,2.09,4 1 Round,jTWI7t8B7r
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,XE8CALZn4Y
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,XE8CALZn4Y
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,XE8CALZn4Y
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,XE8CALZn4Y
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,XE8CALZn4Y
Arztpraxen,Round,Question,2,19000,1,19000,2,19004,17103.6,20904.4,1 2 Round,XE8CALZn4Y
Umsatzlöhne,Round,Test,1,30,6,23.5,2,22.7,20.43,24.97,6 1 Round,XE8CALZn4Y
Arztpraxen,Round,Test,1,78,1,76,2,74.7,67.23,82.17,1 1 Round,XE8CALZn4Y
Gotthardtunnel,Precise,Question,1,17000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,FkFcPnaGlJ
Gotthardtunnel,Precise,Question,2,2500,2,2257,2,2257,2031.3,2482.7,2 2 Precise,FkFcPnaGlJ
Umsatzlöhne,Precise,Question,1,18000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,FkFcPnaGlJ
Umsatzlöhne,Precise,Question,2,3700,6,3750,2,3750,3375,4125,6 2 Precise,FkFcPnaGlJ
Arztpraxen,Precise,Question,1,500,1,25439,2,25439,22895.1,27982.9,1 1 Precise,FkFcPnaGlJ
Arztpraxen,Precise,Question,2,500,1,19004,2,19004,17103.6,20904.4,1 2 Precise,FkFcPnaGlJ
Umsatzlöhne,Precise,Test,1,20,6,22.7,2,22.7,20.43,24.97,6 1 Precise,FkFcPnaGlJ
Arztpraxen,Precise,Test,1,40,1,74.7,2,74.7,67.23,82.17,1 1 Precise,FkFcPnaGlJ
Gotthardtunnel,Precise,Question,1,56300,2,16942,2,16942,15247.8,18636.2,2 1 Precise,nJBY30X3zW
Gotthardtunnel,Precise,Question,2,196,2,2257,2,2257,2031.3,2482.7,2 2 Precise,nJBY30X3zW
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,nJBY30X3zW
Umsatzlöhne,Precise,Question,2,3500,6,3750,2,3750,3375,4125,6 2 Precise,nJBY30X3zW
Arztpraxen,Precise,Question,1,15600,1,25439,2,25439,22895.1,27982.9,1 1 Precise,nJBY30X3zW
Arztpraxen,Precise,Question,2,25,1,19004,2,19004,17103.6,20904.4,1 2 Precise,nJBY30X3zW
Umsatzlöhne,Precise,Test,1,70,6,22.7,2,22.7,20.43,24.97,6 1 Precise,nJBY30X3zW
Arztpraxen,Precise,Test,1,25,1,74.7,2,74.7,67.23,82.17,1 1 Precise,nJBY30X3zW
Geographie,Precise,Question,1,39000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,CFftAbEnkQ
Geographie,Precise,Question,2,7100,5,7105,1,7105,6394.5,7815.5,5 2 Precise,CFftAbEnkQ
Arbeitslosigkeit,Precise,Question,1,2100,3,89881,1,89881,80892.9,98869.1,3 1 Precise,CFftAbEnkQ
Arbeitslosigkeit,Precise,Question,2,200,3,2280,1,2280,2052,2508,3 2 Precise,CFftAbEnkQ
Urteile,Precise,Question,1,1900,4,103156,1,103156,92840.4,113471.6,4 1 Precise,CFftAbEnkQ
Urteile,Precise,Question,2,100,4,1945,1,1945,1750.5,2139.5,4 2 Precise,CFftAbEnkQ
Geographie,Precise,Test,1,20,5,17.2,1,17.2,15.48,18.92,5 1 Precise,CFftAbEnkQ
Arbeitslosigkeit,Precise,Test,1,1,3,2.5,1,2.5,2.25,2.75,3 1 Precise,CFftAbEnkQ
Urteile,Precise,Test,1,10,4,1.9,1,1.9,1.71,2.09,4 1 Precise,CFftAbEnkQ
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,6VrukJWP7G
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,6VrukJWP7G
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,6VrukJWP7G
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,6VrukJWP7G
Urteile,Round,Question,1,3000,4,100000,1,103156,92840.4,113471.6,4 1 Round,6VrukJWP7G
Urteile,Round,Question,2,1,4,2000,1,1945,1750.5,2139.5,4 2 Round,6VrukJWP7G
Geographie,Round,Test,1,18,5,17.5,1,17.2,15.48,18.92,5 1 Round,6VrukJWP7G
Arbeitslosigkeit,Round,Test,1,1,3,2.8,1,2.5,2.25,2.75,3 1 Round,6VrukJWP7G
Urteile,Round,Test,1,10,4,2,1,1.9,1.71,2.09,4 1 Round,6VrukJWP7G
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,9H5onwwkBS
Gotthardtunnel,Round,Question,2,4300,2,2300,2,2257,2031.3,2482.7,2 2 Round,9H5onwwkBS
Umsatzlöhne,Round,Question,1,6500,6,17000,2,16553,14897.7,18208.3,6 1 Round,9H5onwwkBS
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,9H5onwwkBS
Arztpraxen,Round,Question,1,42000,1,25000,2,25439,22895.1,27982.9,1 1 Round,9H5onwwkBS
Arztpraxen,Round,Question,2,190,1,19000,2,19004,17103.6,20904.4,1 2 Round,9H5onwwkBS
Umsatzlöhne,Round,Test,1,30,6,23.5,2,22.7,20.43,24.97,6 1 Round,9H5onwwkBS
Arztpraxen,Round,Test,1,25,1,76,2,74.7,67.23,82.17,1 1 Round,9H5onwwkBS
Geographie,Precise,Question,1,41256,5,41285,1,41285,37156.5,45413.5,5 1 Precise,YDuPHk4TGr
